GAME_ID,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_WIN,SEASON,HOME_ROLL10_PTS,HOME_ROLL10_FGA,HOME_ROLL10_FG_PCT,HOME_ROLL10_FG3_PCT,HOME_ROLL10_FT_PCT,HOME_ROLL10_REB,HOME_ROLL10_AST,HOME_ROLL10_TOV,HOME_ROLL10_STL,HOME_ROLL10_BLK,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_WIN,AWAY_ROLL10_PTS,AWAY_ROLL10_FGA,AWAY_ROLL10_FG_PCT,AWAY_ROLL10_FG3_PCT,AWAY_ROLL10_FT_PCT,AWAY_ROLL10_REB,AWAY_ROLL10_AST,AWAY_ROLL10_TOV,AWAY_ROLL10_STL,AWAY_ROLL10_BLK,DIFF_ROLL10_PTS,DIFF_ROLL10_FGA,DIFF_ROLL10_FG_PCT,DIFF_ROLL10_FG3_PCT,DIFF_ROLL10_FT_PCT,DIFF_ROLL10_REB,DIFF_ROLL10_AST,DIFF_ROLL10_TOV,DIFF_ROLL10_STL,DIFF_ROLL10_BLK
0022100384,1610612737,Atlanta Hawks,0,2021-22,114.2,86.5,0.4843,0.41129999999999994,0.8215,45.7,25.8,10.4,6.5,5.4,1610612751,Brooklyn Nets,1,110.6,88.2,0.46579999999999994,0.3113,0.8224,45.7,26.1,11.7,6.3,5.5,3.6000000000000085,-1.7000000000000028,0.018500000000000072,0.09999999999999992,-0.0009000000000000119,0.0,-0.3000000000000007,-1.299999999999999,0.20000000000000018,-0.09999999999999964
0022100407,1610612737,Atlanta Hawks,0,2021-22,113.7,87.8,0.47309999999999997,0.4086,0.8215,46.6,25.1,10.7,6.6,5.3,1610612745,Houston Rockets,1,114.0,85.5,0.4765,0.38079999999999997,0.7212999999999999,42.2,27.3,14.8,6.4,5.8,-0.29999999999999716,2.299999999999997,-0.003400000000000014,0.027800000000000047,0.10020000000000007,4.399999999999999,-2.1999999999999993,-4.100000000000001,0.1999999999999993,-0.5
0022100434,1610612737,Atlanta Hawks,0,2021-22,114.6,87.9,0.47119999999999995,0.4061,0.8337999999999999,45.6,24.7,11.3,7.4,5.2,1610612743,Denver Nuggets,1,112.0,86.4,0.4807,0.3782,0.8248000000000001,39.1,28.7,11.7,7.2,3.6,2.5999999999999943,1.5,-0.009500000000000064,0.027900000000000036,0.008999999999999786,6.5,-4.0,-0.3999999999999986,0.20000000000000018,1.6
0022100470,1610612737,Atlanta Hawks,0,2021-22,113.7,87.9,0.46670000000000006,0.3891,0.8186,44.9,24.3,11.9,7.0,5.0,1610612753,Orlando Magic,1,104.7,87.1,0.4471,0.32339999999999997,0.8355,44.4,22.3,14.8,6.3,4.5,9.0,0.8000000000000114,0.019600000000000062,0.06570000000000004,-0.016900000000000026,0.5,2.0,-2.9000000000000004,0.7000000000000002,0.5
0022100502,1610612737,Atlanta Hawks,0,2021-22,108.4,86.0,0.4446,0.3703,0.8114000000000001,44.8,23.2,12.4,6.7,4.8,1610612741,Chicago Bulls,1,112.1,86.0,0.4807,0.3784,0.7705,41.7,24.1,13.1,6.0,5.4,-3.6999999999999886,0.0,-0.03610000000000002,-0.008099999999999996,0.04090000000000016,3.0999999999999943,-0.9000000000000021,-0.6999999999999993,0.7000000000000002,-0.6000000000000005
0022100621,1610612737,Atlanta Hawks,0,2021-22,108.9,87.5,0.4495,0.3544,0.7861,44.7,23.4,10.9,5.7,3.7,1610612748,Miami Heat,1,112.1,88.9,0.44770000000000004,0.3956,0.8233,46.8,26.3,12.3,6.2,2.9,-3.1999999999999886,-1.4000000000000057,0.0017999999999999683,-0.041200000000000014,-0.03720000000000001,-2.0999999999999943,-2.900000000000002,-1.4000000000000004,-0.5,0.8000000000000003
0022100643,1610612737,Atlanta Hawks,0,2021-22,110.2,87.4,0.45030000000000003,0.3575,0.7769999999999999,42.3,23.9,11.4,6.2,3.4,1610612752,New York Knicks,1,98.2,83.6,0.4314,0.35050000000000003,0.6378,46.6,20.1,12.1,7.3,4.0,12.0,3.8000000000000114,0.018900000000000028,0.006999999999999951,0.13919999999999988,-4.300000000000004,3.799999999999997,-0.6999999999999993,-1.0999999999999996,-0.6000000000000001
0022100660,1610612737,Atlanta Hawks,1,2021-22,112.3,86.7,0.4624,0.35969999999999996,0.7905,40.8,23.9,11.1,5.9,3.4,1610612749,Milwaukee Bucks,0,115.6,87.8,0.4589,0.3736,0.8006,47.1,24.0,13.7,7.7,4.7,-3.299999999999997,-1.0999999999999943,0.003500000000000003,-0.013900000000000023,-0.010099999999999998,-6.300000000000004,-0.10000000000000142,-2.5999999999999996,-1.7999999999999998,-1.3000000000000003
0022100670,1610612737,Atlanta Hawks,1,2021-22,112.6,86.4,0.4617,0.3573,0.7958,40.9,24.2,11.4,6.3,3.7,1610612750,Minnesota Timberwolves,0,117.1,92.0,0.471,0.3443,0.7398,45.6,27.8,14.7,9.3,6.3,-4.5,-5.599999999999994,-0.009299999999999975,0.013000000000000012,0.05599999999999994,-4.700000000000003,-3.6000000000000014,-3.299999999999999,-3.000000000000001,-2.5999999999999996
0022100687,1610612737,Atlanta Hawks,1,2021-22,114.3,85.8,0.46620000000000006,0.3545,0.8145,41.1,25.0,11.4,6.4,4.3,1610612748,Miami Heat,0,112.4,86.7,0.458,0.3863,0.8573000000000001,46.6,25.9,13.1,7.4,4.2,1.8999999999999915,-0.9000000000000057,0.00820000000000004,-0.031799999999999995,-0.04280000000000006,-5.5,-0.8999999999999986,-1.6999999999999993,-1.0,0.09999999999999964
